회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
모나미,5360,생활용품 도매업,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",1974-06-26,12월,송하경,http://www.monami.com,경기도
한화솔루션,9830,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,"이구영, 김희철, 류두형",http://hcc.hanwha.co.kr,서울특별시
아세아,2030,회사 본부 및 경영 컨설팅 서비스업,"회사본부,지주회사 및 경영컨설팅 서비스업",1974-06-03,12월,고규환,http://asiaholdings.co.kr,서울특별시
카프로,6380,기초 화학물질 제조업,"카프로락탐,유안비료 제조",1974-05-28,12월,권용대,http://www.hcccapro.co.kr,서울특별시
롯데지주,4990,기타 금융업,지주회사,1974-02-16,12월,"신동빈,황각규,송용덕",http://www.lotte.co.kr,서울특별시
대한방직,1070,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설",1973-12-28,12월,"설 범, 김 인호",http://www.thtc.co.kr,서울특별시
서울식품공업,4410,기타 식품 제조업,"빵,스넥,마아가린,유지류,사료 제조,도매",1973-12-28,12월,서성훈,http://seoul-food.co.kr,충청북도
아이에이치큐,3560,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,전용주,http://www.ihq.co.kr,서울특별시
LS네트웍스,680,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,"구자용,문성준(각자 대표이사)",http://www.lsnetworks.co.kr,경상남도
금호전기,1210,전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",1973-11-15,12월,이홍민,http://www.khe.co.kr,서울특별시
하이트진로홀딩스,140,기타 금융업,지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시
노루홀딩스,320,기타 금융업,지주사업,1973-08-10,12월,"한영재,김용기",http://www.norooholdings.co.kr,경기도
기아자동차,270,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,최준영,http://www.kia.co.kr,서울특별시
